region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	3	11	1	2	1	42	42	0.968497	0.968497	0.968497	0	-0.710695	-0.893313	637572429
0	-2	3	11	1	1	3	42	42	0.927759	0.927759	0.927759	0	-0.866442	-1.14092	637633869
0	-2	3	11	1	2	3	42	42	0.966423	0.966423	0.966423	0	-0.861213	-0.893313	637637965
0	-2	3	12	1	1	1	42	42	0.9668	0.9668	0.9668	0	-0.715282	-0.61732	637568461
0	-2	3	12	1	2	1	42	42	0.975234	0.975234	0.975234	0	-0.710695	-0.369714	637572557
0	-2	3	12	1	1	3	42	42	0.977304	0.977304	0.977304	0	-0.866442	-0.61732	637633997
0	-2	3	12	1	2	3	42	42	0.954188	0.954188	0.954188	0	-0.861213	-0.369714	637638093
0	-2	4	1	1	1	1	48	48	0.703629	0.703629	0.703629	0	-0.606445	-0.265657	637567085
0	-2	4	1	1	2	1	48	48	0.794427	0.794427	0.794427	0	-0.625992	0.01178	637571181
0	-2	4	1	1	1	3	48	48	0.903258	0.903258	0.903258	0	-0.741168	-0.265657	637632621
0	-2	4	1	1	2	3	48	48	0.885858	0.885858	0.885858	0	-0.763857	0.01178	637636717
0	-2	4	2	1	1	1	48	48	0.646711	0.646711	0.646711	0	-0.606445	0.257941	637567213
0	-2	4	2	1	2	1	48	48	0.927216	0.927216	0.927216	0	-0.625992	0.535379	637571309
0	-2	4	2	1	1	3	48	48	0.70396	0.70396	0.70396	0	-0.741168	0.257941	637632749
0	-2	4	2	1	2	3	48	48	0.950093	0.950093	0.950093	0	-0.763857	0.535379	637636845
0	-2	4	3	1	1	1	48	48	0.962505	0.962505	0.962505	0	-0.606445	0.78154	637567341
0	-2	4	3	1	2	1	48	48	0.963503	0.963503	0.963503	0	-0.625992	1.05898	637571437
0	-2	4	3	1	1	3	48	48	0.961838	0.961838	0.961838	0	-0.741168	0.78154	637632877
0	-2	4	3	1	2	3	48	48	0.964506	0.964506	0.964506	0	-0.763857	1.05898	637636973
0	-2	4	4	1	1	1	36	36	0.896565	0.896565	0.896565	0	-0.597103	1.2479	637567469
0	-2	4	4	1	2	1	36	36	0.96699	0.96699	0.96699	0	-0.621958	1.44968	637571565
0	-2	4	4	1	1	3	36	36	0.822065	0.822065	0.822065	0	-0.730294	1.2479	637633005
0	-2	4	4	1	2	3	36	36	0.848967	0.848967	0.848967	0	-0.759181	1.44968	637637101
0	-2	4	4	1	3	1	36	36	0.96335	0.96335	0.96335	0	-0.621958	1.69191	637575661
0	-2	4	4	1	4	1	36	36	0.938047	0.938047	0.938047	0	-0.597103	1.8937	637579757
0	-2	4	4	1	3	3	36	36	0.957755	0.957755	0.957755	0	-0.759181	1.69191	637641197
0	-2	4	4	1	4	3	36	36	0.844939	0.844939	0.844939	0	-0.730294	1.8937	637645293
0	-2	4	5	1	1	1	48	48	0.968937	0.968937	0.968937	0	-0.625992	2.08261	637567597
0	-2	4	5	1	2	1	48	48	0.938059	0.938059	0.938059	0	-0.606445	2.36005	637571693
0	-2	4	5	1	1	3	48	48	0.956394	0.956394	0.956394	0	-0.763857	2.08261	637633133
0	-2	4	5	1	2	3	48	48	0.866546	0.866546	0.866546	0	-0.741168	2.36005	637637229
0	-2	4	6	1	1	1	48	48	0.940533	0.940533	0.940533	0	-0.625992	2.60621	637567725
0	-2	4	6	1	2	1	48	48	0.841196	0.841196	0.841196	0	-0.606445	2.88365	637571821
0	-2	4	6	1	1	3	48	48	0.71949	0.71949	0.71949	0	-0.763857	2.60621	637633261
0	-2	4	6	1	2	3	48	48	0.662765	0.662765	0.662765	0	-0.741168	2.88365	637637357
